`202520260AB15`	`CX18`	2025-03-04 00:00:00	1	147510	9	0	0	`(PASS)`	`committee_service`	2025-03-04 13:05:35	NULL	NULL	NULL	2025-03-04 00:00:00
`202520260AB223`	`CX13`	2025-03-04 00:00:00	1	147523	12	0	0	`(PASS)`	`committee_service`	2025-03-04 11:14:59	NULL	NULL	NULL	2025-03-04 00:00:00
`202520260AB226`	`CX28`	2025-03-05 00:00:00	1	147510	12	0	5	`(PASS)`	`committee_service`	2025-03-05 10:25:13	NULL	NULL	NULL	2025-03-05 00:00:00
`202520260AB229`	`CX18`	2025-03-04 00:00:00	1	147510	8	0	1	`(PASS)`	`committee_service`	2025-03-04 13:05:36	NULL	NULL	NULL	2025-03-04 00:00:00
`202520260AB232`	`CX27`	2025-03-03 00:00:00	1	147625	8	0	1	`(PASS)`	`committee_service`	2025-03-03 16:47:31	NULL	NULL	NULL	2025-03-03 00:00:00
`202520260AB236`	`CX27`	2025-03-03 00:00:00	1	147510	8	0	1	`(PASS)`	`committee_service`	2025-03-03 16:47:31	NULL	NULL	NULL	2025-03-03 00:00:00
`202520260AB237`	`CX18`	2025-03-04 00:00:00	1	147519	9	0	0	`(PASS)`	`committee_service`	2025-03-04 13:05:36	NULL	NULL	NULL	2025-03-04 00:00:00
`202520260AB238`	`CX27`	2025-03-03 00:00:00	1	147684	6	0	3	`(PASS)`	`committee_service`	2025-03-03 16:47:31	NULL	NULL	NULL	2025-03-03 00:00:00
`202520260AB238`	`CX13`	2025-03-04 00:00:00	1	147510	11	0	1	`(PASS)`	`committee_service`	2025-03-04 11:14:59	NULL	NULL	NULL	2025-03-04 00:00:00
`202520260AB246`	`CX13`	2025-03-04 00:00:00	1	104835	8	3	1	`(PASS)`	`committee_service`	2025-03-04 11:14:59	NULL	NULL	NULL	2025-03-04 00:00:00
`202520260AB285`	`CX18`	2025-03-04 00:00:00	1	147529	9	0	0	`(PASS)`	`committee_service`	2025-03-04 13:05:36	NULL	NULL	NULL	2025-03-04 00:00:00
`202520260AB297`	`CX18`	2025-03-04 00:00:00	1	147510	2	4	3	`(FAIL)`	`committee_service`	2025-03-04 13:05:36	NULL	NULL	NULL	2025-03-04 00:00:00
`202520260AB31`	`CX18`	2025-03-04 00:00:00	1	147529	9	0	0	`(PASS)`	`committee_service`	2025-03-04 13:05:36	NULL	NULL	NULL	2025-03-04 00:00:00
`202520260AB311`	`CX13`	2025-03-04 00:00:00	1	3310	12	0	0	`(PASS)`	`committee_service`	2025-03-04 11:14:59	NULL	NULL	NULL	2025-03-04 00:00:00
