`202520260AB1`	117392794	2024-12-03 00:00:00	`From printer.  May be heard in committee  January  2.`	`LEG_ESI`	2025-02-03 16:43:49	2	`3`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
`202520260AB1`	117392795	2025-02-03 00:00:00	`Referred to Com. on  INS.`	`LEG_ESI`	2025-02-03 16:43:49	3	`2`	`Applied`	`Assembly`	`Committee`	`CX28`	`In Committee Process`
`202520260AB1`	117392793	2024-12-02 00:00:00	`Read first time.  To print.`	`LEG_ESI`	2025-02-03 16:43:49	1	`1`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
`202520260AB10`	117340542	2024-12-02 00:00:00	`Read first time.  To print.`	`LEG_ESI`	2024-12-03 09:18:12	1	`1`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
`202520260AB10`	117340543	2024-12-03 00:00:00	`From printer.  May be heard in committee  January  2.`	`LEG_ESI`	2024-12-03 09:18:12	2	`3`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
`202520260AB100`	117393134	2025-01-08 00:00:00	`Read first time.  To print.`	`LEG_ESI`	2025-02-03 16:57:44	1	`1`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
`202520260AB100`	117393135	2025-01-09 00:00:00	`From printer.  May be heard in committee  February  8.`	`LEG_ESI`	2025-02-03 16:57:44	2	`3`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
`202520260AB100`	117393136	2025-02-03 00:00:00	`Referred to Com. on  Budget.`	`LEG_ESI`	2025-02-03 16:57:44	3	`2`	`Applied`	`Assembly`	`Committee`	`CX29`	`In Committee Process`
`202520260AB1000`	117401396	2025-02-20 00:00:00	`Read first time.  To print.`	`LEG_ESI`	2025-02-21 09:10:32	1	`1`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
`202520260AB1000`	117401397	2025-02-21 00:00:00	`From printer.  May be heard in committee  March  23.`	`LEG_ESI`	2025-02-21 09:10:32	2	`3`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
`202520260AB1001`	117401398	2025-02-20 00:00:00	`Read first time.  To print.`	`LEG_ESI`	2025-02-21 09:10:32	1	`1`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
`202520260AB1001`	117401399	2025-02-21 00:00:00	`From printer.  May be heard in committee  March  23.`	`LEG_ESI`	2025-02-21 09:10:32	2	`3`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
